9.76279, -7.51455, -0.224252, 1.78076, -6.0426, -3.70073, -2.85768, 2.5274, 5.19175, 9.5459, -1.82866, -9.57091, -4.45674, -7.20763, 6.59388, -0.657823, 7.07004, 2.69136, 8.1476, 6.6769, -9.38445, -1.12067, 9.78014, -1.5377, 9.40245, 0.999135, -8.14037, 6.76639, -2.71073, -8.92782, -6.75554, -6.6381, -7.48189, -0.434876, -1.73488, 6.68151, -9.33938, -2.29453, -1.12336, -1.92993, 1.49475, 5.32787, -2.02514, -7.11823, 3.16982, 9.6672, -1.28494, 1.63963, 0.598909, 3.25266, -8.63364, -0.0944207, 1.07992, -7.02164, 6.75268, 5.38182, 1.76169, 2.97085, 8.95411, -9.62512, 3.94235, -5.47594, 5.79493, 2.91474, 2.3609, 1.03317, 5.31539, -6.40788, 7.98114, -4.18875, -4.13653, -8.16457, -1.92375, -8.28124, 5.35045, -4.05495, -5.69448, 8.35586, -2.67007, -0.785461, -4.42499, -8.57621, 1.9111, -2.80503, -9.34404, -3.54339, 3.38448, -7.24768, 2.08102, 8.82576, 7.60298, -9.42283, -6.12174, -9.97631, -5.43625, -1.08978, 3.89622, -3.52086, 9.07561, -9.99089, 7.07226, -5.3709, -9.2214, 0.350686, 2.29544, -6.51385, -3.81598, 1.58795, -2.09044, 4.65827, -0.823896, -8.11653, 6.2323, -0.0919867, -9.05153, -0.875869, -1.04705, -7.55342, -3.76799, 9.55813, 2.32716, -8.15754, -3.21492, -1.53365, 4.7899, -8.2307, 3.13286, 8.68954, 4.05813, -2.15192, 2.5592, -3.63903, -4.29167, -0.730961, 5.63405, 2.97782, -8.93949, 
	x	y	theta : ul	ur

Starting Conditions: -1.80681, 0, 0, 0, 1.16871, 0, 
2.6: -1.934958	 0.008299	 0.286183 : -0.100	 -0.054 	Dst/Theta/Speed: 	1.934976	0.286183	0.132646 	F: 0.00 (0)
2.7: -1.949251	 0.008202	 0.222969 : -0.100	 -0.075 	Dst/Theta/Speed: 	1.949269	0.222969	0.153292 	F: 0.00 (0)
2.8: -1.965666	 0.007956	 0.159473 : -0.100	 -0.083 	Dst/Theta/Speed: 	1.965682	0.159473	0.175076 	F: 0.00 (0)
2.9: -1.984284	 0.007697	 0.095772 : -0.100	 -0.086 	Dst/Theta/Speed: 	1.984299	0.095772	0.197343 	F: 0.00 (0)
3.0: -2.005134	 0.007577	 0.031881 : -0.100	 -0.086 	Dst/Theta/Speed: 	2.005149	0.031881	0.219695 	F: 0.00 (0)
3.1: -2.028206	 0.007749	 -0.032227 : -0.100	 -0.082 	Dst/Theta/Speed: 	2.028220	-0.032227	0.241756 	F: 0.00 (0)
3.2: -2.053437	 0.008364	 -0.096631 : -0.100	 -0.074 	Dst/Theta/Speed: 	2.053454	-0.096631	0.263036 	F: 0.00 (0)
3.3: -2.080709	 0.009559	 -0.161476 : -0.100	 -0.060 	Dst/Theta/Speed: 	2.080731	-0.161476	0.282934 	F: 0.00 (0)
3.4: -2.109847	 0.011446	 -0.226974 : -0.100	 -0.042 	Dst/Theta/Speed: 	2.109878	-0.226974	0.301049 	F: 0.00 (0)
3.5: -2.140658	 0.014113	 -0.293353 : -0.100	 -0.026 	Dst/Theta/Speed: 	2.140704	-0.293353	0.317474 	F: 0.00 (0)
3.6: -2.172973	 0.017629	 -0.360808 : -0.100	 -0.013 	Dst/Theta/Speed: 	2.173044	-0.360808	0.332640 	F: 0.00 (0)
3.7: -2.206664	 0.022057	 -0.429472 : -0.100	 -0.005 	Dst/Theta/Speed: 	2.206774	-0.429472	0.346980 	F: 0.00 (0)
3.8: -2.241637	 0.027464	 -0.499429 : -0.100	 -0.001 	Dst/Theta/Speed: 	2.241805	-0.499429	0.360794 	F: 0.00 (0)
3.9: -2.277818	 0.033916	 -0.570726 : -0.100	 0.002 	Dst/Theta/Speed: 	2.278071	-0.570726	0.374247 	F: 0.00 (0)
